SampleID;input;filtered;denoisedF;denoisedR;merged;nonchim
4034853471;360900;325771;323068;324251;308308;238718
4034854860;417174;376663;373515;374538;359267;330686
4034854783;420794;378542;375847;376944;363288;313736
4034853447;399609;361516;359061;359734;348047;294652
4034854541;403651;366375;364003;365217;352625;283741
CROSS.CONT.CTR.188;10568;8198;7295;7825;5988;5072
4034854282;354858;317841;315129;316172;301772;253079
4034853484;427551;391652;389163;390340;376339;314380
4029530199;47432;28336;27510;27964;12925;11943
4034854884;463157;420191;416035;418413;397879;361750
4034854885;399975;361918;359047;360490;345611;312570
4034854869;356534;321652;315967;318821;293440;230216
4034854820;320339;286917;283112;284998;263892;189132
4034854318;412347;372094;369889;371081;361705;350974
4034854230;378689;339341;337355;338357;329667;307927
4034855025;436691;385351;382894;384103;357200;279784
4034854491;449645;405907;401003;403377;378073;291314
4034853414;375453;341398;339650;340587;330162;318804
4034854790;435139;390481;388049;389298;375242;344782
4034854516;389893;349895;345387;347442;324064;210545
4034853411;461873;414151;410383;412351;396543;356342
4034854723;383529;348092;346069;347161;338437;315949
4034854198;432698;390542;387889;389222;370317;290535
4034854976;450207;398071;396215;396656;383107;298034
4034853444;455219;399564;396604;398241;371949;339765
4034854811;490549;442702;440809;441714;429390;407392
4034854528;456149;410004;406736;408647;393533;375499
4034854514;415733;376134;373941;374855;359299;299952
neg.CTR.93;14166;9776;9070;9390;6173;5506
neg.CTR.94;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
pos.CTR.93;464110;403886;394171;397407;351011;221929
pos.CTR.94;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4029527934;332056;298018;293127;295635;272430;188539
4029527334;371901;336701;332042;333879;307091;208185
4029527121;403170;361112;358674;359219;345308;264833
4029527893;361489;321725;318976;320347;307303;270950
4029527928;364554;323962;321274;322177;309423;250691
4029527270;312957;274273;273314;273632;261925;254081
4029527277;339554;306406;305279;305429;300571;296518
4029527245;319518;282650;281377;282006;269618;257673
4029528063;312419;279579;276540;277180;259133;175645
4029527376;330848;293533;290094;291831;274260;204261
4029527315;349608;311426;309279;309928;299942;252259
4029528020;346005;309378;307646;308526;299352;292963
4029527173;391149;349658;348303;348495;341570;318426
4029527731;264460;235988;234401;235140;229487;209116
4029529413;323085;290449;289131;289793;283905;245375
4029527107;5128;3670;3194;3462;2678;2032
4029527308;333847;298904;295275;296169;276474;193269
4029528040;373953;332631;331332;332036;325977;319749
CROSS.CONT.CTR.189;6957;5200;4864;5035;3998;3541
4029529768;311341;279571;277927;278567;267290;238969
4029529780;374750;338984;336992;337950;328523;276865
4029529216;313242;280524;279204;279485;271707;255224
4029527818;370969;335376;333946;334761;328885;319745
4029527259;314977;282860;279617;281030;266389;221356
4029527451;336460;302236;299064;300466;285847;231404
4029527216;332511;299681;297508;298539;287073;232837
4029527256;321551;288658;287258;288033;279899;235861
4029527373;362823;324039;322211;322660;314520;282712
4029527687;329489;294426;291210;293012;277556;225469
4029527321;360444;323133;321757;322190;316356;309308
4029527253;354557;319297;318166;318782;314799;303679
4029527046;322100;289304;287529;288190;281403;270872
4029527868;336212;304501;300221;302131;281204;212457
4029527311;374519;338082;335675;336418;326799;295864
4029527413;369221;333428;331508;332501;323395;285318
4029533294;8806;7094;6566;6865;6042;4924
4029527786;414830;377004;375973;376492;370241;366824
CROSS.CONT.CTR.190;6551;5096;4472;4793;3870;3299
4029527168;348278;312168;310937;311592;305766;302930
4029527098;327584;298285;296810;297515;290706;263072
4029527776;368482;326923;320439;323640;294143;208516
4029527892;383366;337191;334278;335129;320598;253068
4029527393;437788;395118;394126;394613;390041;386888
4029527293;415603;368462;364960;366292;349711;314917
4029527680;286973;255172;253482;254316;245466;213484
4029527822;398584;355788;354645;355286;349757;344959
4029527116;367670;329495;328255;329002;323088;320127
4029527805;346354;310020;308056;309142;296319;262791
4029527338;350788;316767;315133;315942;308386;291579
4029527481;389035;352412;349069;349841;331447;229135
CROSS.CONT.CTR.191;150976;146879;120876;115776;115567;90579
4029527313;392809;354719;352367;353365;341907;287511
4029527689;336788;299563;295485;297565;279640;219261
4029527876;341702;308752;306179;307484;294206;244300
4029527194;141107;124682;123900;124347;120152;116225
4029527130;388757;352703;351445;350663;343529;338692
4029527372;408847;366731;363155;365153;346069;315296
4029529493;408722;370953;368769;369671;357531;310500
4029527777;401715;361811;359734;360795;351225;292765
4029527066;428089;388280;382187;384895;350068;231398
4029527265;386195;349467;346236;347824;331848;254759
4029527476;369626;337612;335669;336846;328485;317079
4029527132;342073;310100;306830;309114;299693;272539
4029527148;339786;305170;302301;303439;287772;258351
4029527833;302008;271092;267118;268951;247469;171578
4029527363;413686;378178;373987;376357;361482;329527
4029527839;425399;384831;381631;383144;365097;275113
4029527220;369674;335025;331643;332938;317390;240938
4029527149;334312;303596;301243;302357;289751;232091
CROSS.CONT.CTR.192;5449;4116;3608;3807;2866;2602
4029527714;307975;278967;277282;278063;269546;252363
4029527176;340008;307305;303599;305575;289051;234843
4029527282;297578;267792;265032;266485;254401;208787
4029527297;304405;269353;267369;268114;257590;188680
4029529084;336546;304898;302302;303730;293884;263673
4029527162;360732;324508;321468;323164;311633;296599
4029527710;341350;309619;306044;307687;290473;222726
4029527449;348972;316819;313109;314651;295623;203184
4029527838;272197;249196;247952;248635;243790;227180
4029527909;306313;276296;274831;275607;268997;246037
4029527918;319917;288949;283770;286093;260255;187687
4029527366;320003;285878;280714;282534;258017;170788
4029527375;314400;284595;282238;283201;269548;214199
4029527713;7539;5620;4966;5338;4073;3392
4029528015;263577;241465;239395;240123;231014;181432
4029527368;324153;290375;289133;289829;284718;243547
4029527279;277419;247950;245677;246477;234918;178072
4029528833;44289;33008;32058;32579;23990;22885
4029527793;376400;342361;338347;340031;318106;228062
4029528001;374512;331214;326595;328582;305404;235867
4029527696;17678;15004;14164;14460;12331;12059
4029529624;318102;286644;284145;285349;272739;229780
4016159909;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
